日期,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅,振幅,涨跌额
2025-04-24,3.79760472,3.81712968,3.68045496,3.7097424,37096104,141398179.8,3.6676,-2.0618556701030855,3.7135278514588803,-0.0780998399999997
2025-04-25,3.7097424,3.77807976,3.69997992,3.7585548,35660816,136693952.6,3.5257,1.3157894736842035,2.1108179419524986,0.04881240000000009
2025-04-28,3.7585548,3.86594208,3.69997992,3.76831728,39970068,155556198.81,3.9518,0.25974025974027093,4.485488126649073,0.009762480000000018
2025-04-29,3.77807976,3.89522952,3.68045496,3.72926736,48733340,188586572.22,4.8182,-1.0362694300518172,5.835543766578248,-0.03904992000000007
2025-04-30,3.7585548,3.79760472,3.7097424,3.7585548,48731937,187638701.33,4.8181,0.7853403141361293,2.368421052631571,0.029287440000000053
2025-05-06,3.8073672,3.8073672,3.59259264,3.7097424,93556533,350082208.72,9.2498,-1.2987012987012991,5.978260869565216,-0.04881240000000009
2025-05-07,3.7097424,3.78784224,3.63164256,3.66093,60224840,228254374.12,5.9544,-1.3157894736842146,4.3010752688172,-0.04881240000000009
2025-05-08,3.66093,3.97332936,3.62188008,3.78784224,76494019,295865150.72,7.5629,3.4666666666666623,9.70350404312669,0.1269122399999998
2025-05-09,3.77807976,3.81712968,3.66093,3.67069248,54762548,208375722.92,5.4143,-3.092783505154628,4.266666666666662,-0.11714975999999977
2025-05-12,3.67069248,3.69021744,3.59259264,3.63164256,41838966,155298648.36,4.1366,-1.0638297872340496,2.717391304347831,-0.03904992000000007
2025-05-13,3.64140504,3.69997992,3.62188008,3.66093,28994928,108571762.6,2.8667,0.8064516129032251,2.1563342318059338,0.029287440000000053
2025-05-14,3.63164256,3.72926736,3.59259264,3.67069248,34202931,127846691.11,3.3816,0.2666666666666595,3.8043478260869636,0.009762480000000018
2025-05-15,3.66093,3.7585548,3.6121176,3.69021744,54338740,205840632.68,5.3724,0.5319148936170137,4.0540540540540615,0.019524960000000036
2025-05-16,3.65116752,3.68045496,3.60235512,3.6121176,38971630,144744849.77,3.8531,-2.1164021164021163,2.1680216802168064,-0.07809984000000014
2025-05-19,3.6121176,3.64140504,3.5633052,3.6121176,20528794,75913255.9,2.0297,0.0,2.1917808219178125,0.0
2025-05-20,3.60235512,3.62188008,3.59259264,3.6121176,16912796,62498400.36,1.6721,0.0,0.8152173913043493,0.0
2025-05-21,3.60235512,3.6121176,3.57306768,3.58283016,18459444,67822041.25,1.8251,-0.8108108108108136,1.09289617486339,-0.029287440000000053
2025-05-22,3.58283016,3.58283016,3.49496784,3.49496784,20936772,75622860.04,2.07,-2.4523160762942697,2.513966480446919,-0.08786231999999972
2025-05-23,3.49496784,3.5144928,3.44615544,3.44615544,14478212,51606673.28,1.4314,-1.3966480446927387,1.9830028328611933,-0.04881240000000009
2025-05-26,3.44615544,3.47544288,3.42663048,3.45591792,11689288,41308370.52,1.1557,0.28328611898016387,1.4245014245014271,0.009762480000000018
2025-05-27,3.45591792,3.4656804,3.43639296,3.44615544,9925916,35060302.68,0.9814,-0.28248587570621764,0.8522727272727287,-0.009762480000000018
2025-05-28,3.45591792,3.4656804,3.42663048,3.44615544,8147320,28752570.72,0.8055,0.0,1.1396011396011418,0.0
