mode,code,date,grade,PT,TY,DN,DL,LK,SF,close,trigger,stop,risk,prbook_warn,triggered_20d,entry_20d,exit_20d,exit_date_20d,stopped_20d,r_20d
prebreak,600990,2021-09-17,S,S,A,C,S,S,A,21.8149,24.1500,22.9900,1.1600,,1,24.1500,22.9900,2021-10-12,1,-1.0152
prebreak,000777,2021-09-22,S,S,A,C,S,S,A,13.2386,11.1600,10.5800,0.5800,,1,11.1600,11.0146,2021-10-27,0,-0.2651
prebreak,002373,2021-09-22,S,S,A,C,S,S,A,14.9182,15.6500,14.8600,0.7900,,0,0.0000,0.0000,,0,0.0000
prebreak,601108,2021-09-22,S,S,A,C,S,S,A,9.6079,9.5100,9.0100,0.5000,,0,0.0000,0.0000,,0,0.0000
prebreak,605222,2021-09-22,S,S,A,C,S,S,A,22.1810,22.2400,21.0900,1.1500,,0,0.0000,0.0000,,0,0.0000
prebreak,000553,2021-09-28,S,S,A,C,S,S,A,9.9021,9.8100,9.3100,0.5000,,0,0.0000,0.0000,,0,0.0000
prebreak,600835,2021-09-28,S,S,A,C,S,S,A,13.3422,13.8500,13.1300,0.7200,,0,0.0000,0.0000,,0,0.0000
prebreak,600990,2021-09-28,S,S,A,C,S,S,A,23.3417,24.1500,22.9900,1.1600,,1,24.1500,22.9900,2021-10-12,1,-1.0152
prebreak,000997,2021-09-30,S,S,A,C,S,S,A,14.0529,15.7200,14.9600,0.7600,,0,0.0000,0.0000,,0,0.0000
prebreak,600562,2021-10-08,S,S,A,C,S,S,A,13.2296,13.4600,12.7800,0.6800,,0,0.0000,0.0000,,0,0.0000
prebreak,002262,2021-10-11,S,S,A,C,S,S,A,14.1284,13.2700,12.7100,0.5600,,0,0.0000,0.0000,,0,0.0000
prebreak,600566,2021-10-11,S,S,A,C,S,S,A,13.5082,13.6300,12.9700,0.6600,,0,0.0000,0.0000,,0,0.0000
prebreak,600036,2021-10-13,S,S,A,C,S,S,A,41.3028,39.4400,37.3900,2.0500,,0,0.0000,0.0000,,0,0.0000
prebreak,000997,2021-10-14,S,S,A,C,S,S,A,13.7146,14.4700,13.8800,0.5900,,0,0.0000,0.0000,,0,0.0000
