mode,code,date,grade,PT,TY,DN,DL,LK,SF,close,trigger,stop,risk,prbook_warn,triggered_5d,entry_5d,exit_5d,exit_date_5d,stopped_5d,r_5d,triggered_10d,entry_10d,exit_10d,exit_date_10d,stopped_10d,r_10d,triggered_20d,entry_20d,exit_20d,exit_date_20d,stopped_20d,r_20d,key,sig_day_pct
prebreak,601001,2011-10-26,S,S,A,C,S,S,A,11.8739,12.51,11.88,0.63,,0,0.0,0.0,,0,0.0,1,12.51,12.4988,2011-11-09,0,-0.0328,1,12.51,12.2645,2011-11-10,0,-0.4046,601001_2011-10-26,-0.0052
prebreak,600779,2011-11-17,S,S,A,C,S,S,A,18.6726,19.51,18.62,0.89,,0,0.0,0.0,,0,0.0,1,19.51,18.62,2011-11-30,1,-1.016,1,19.51,18.62,2011-11-30,1,-1.016,600779_2011-11-17,-0.0067
prebreak,000858,2011-11-21,S,S,A,C,S,S,A,24.2519,25.19,24.18,1.01,,1,25.19,26.0622,2011-11-28,0,0.844,1,25.19,24.6519,2011-12-05,0,-0.5513,1,25.19,24.18,2011-12-06,1,-1.0183,000858_2011-11-21,0.0185
prebreak,601601,2011-11-29,S,S,A,C,S,S,A,11.9566,12.21,11.64,0.57,,1,12.21,12.0704,2011-12-05,0,-0.261,1,12.21,12.0704,2011-12-05,0,-0.261,1,12.21,12.0704,2011-12-05,0,-0.261,601601_2011-11-29,0.0238
prebreak,600508,2012-03-30,S,S,A,C,S,S,A,10.3829,11.88,11.27,0.61,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,11.88,11.8415,2012-05-08,0,-0.0779,600508_2012-03-30,-0.009
prebreak,000538,2012-04-05,S,S,A,C,S,S,A,17.2378,18.17,17.4,0.77,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,18.17,18.1582,2012-05-08,0,-0.0332,000538_2012-04-05,0.0122
prebreak,601001,2012-04-19,S,S,A,C,S,S,A,10.3193,10.54,10.02,0.52,,1,10.54,10.5771,2012-04-26,0,0.0559,1,10.54,11.0146,2012-05-07,0,0.8967,1,10.54,10.02,2012-05-18,1,-1.0148,601001_2012-04-19,-0.0105
prebreak,002299,2012-04-20,S,S,A,C,S,S,A,11.0102,11.2,10.7,0.5,,1,11.2,10.8131,2012-04-27,0,-0.7904,1,11.2,11.033,2012-05-02,0,-0.3508,1,11.2,11.033,2012-05-02,0,-0.3508,002299_2012-04-20,0.0111
prebreak,600508,2012-04-26,S,S,A,C,S,S,A,11.3971,11.24,10.71,0.53,,1,11.24,11.8415,2012-05-08,0,1.1181,1,11.24,11.3448,2012-05-15,0,0.1816,1,11.24,11.4024,2012-05-29,0,0.29,600508_2012-04-26,0.0107
prebreak,600875,2012-04-26,S,S,A,C,S,S,A,18.3726,18.5,17.56,0.94,,1,18.5,18.5041,2012-05-07,0,-0.0106,1,18.5,18.1013,2012-05-14,0,-0.4388,1,18.5,17.56,2012-05-21,1,-1.0143,600875_2012-04-26,0.0022
prebreak,000858,2012-05-03,S,S,A,C,S,S,A,24.557,23.67,22.58,1.09,,1,23.67,24.1299,2012-05-10,0,0.4051,1,23.67,23.5563,2012-05-17,0,-0.1208,1,23.67,22.58,2012-05-24,1,-1.0159,000858_2012-05-03,0.0095
prebreak,600875,2012-05-14,S,S,A,C,S,S,A,18.1013,18.67,17.72,0.95,,0,0.0,0.0,,0,0.0,1,18.67,18.3233,2012-05-29,0,-0.3797,1,18.67,18.2822,2012-05-31,0,-0.4229,600875_2012-05-14,0.0036
prebreak,000538,2012-05-22,S,S,A,C,S,S,A,18.1928,18.37,17.64,0.73,,0,0.0,0.0,,0,0.0,1,18.37,18.4904,2012-06-05,0,0.1457,1,18.37,20.3147,2012-06-19,0,2.6432,000538_2012-05-22,0.0112
prebreak,600875,2012-05-22,S,S,A,C,S,S,A,18.0274,18.29,17.47,0.82,,1,18.29,18.3233,2012-05-29,0,0.0236,1,18.29,17.5506,2012-06-05,0,-0.9181,1,18.29,17.47,2012-06-07,1,-1.0163,600875_2012-05-22,0.0191
prebreak,601318,2012-05-31,S,S,A,C,S,S,A,13.5011,13.78,13.18,0.6,,0,0.0,0.0,,0,0.0,1,13.78,14.5454,2012-06-14,0,1.2574,1,13.78,14.858,2012-07-02,0,1.7781,601318_2012-05-31,-0.0085
prebreak,601628,2012-06-11,S,S,A,C,S,S,A,13.4623,13.62,13.11,0.51,,1,13.62,14.3598,2012-06-18,0,1.4294,1,13.62,14.0633,2012-06-26,0,0.8484,1,13.62,14.9368,2012-07-10,0,2.56,601628_2012-06-11,0.0194
prebreak,000422,2012-09-03,S,S,A,C,S,S,A,10.9051,11.82,11.22,0.6,,0,0.0,0.0,,0,0.0,1,11.82,11.6101,2012-09-14,0,-0.3646,1,11.82,11.6101,2012-09-14,0,-0.3646,000422_2012-09-03,0.0128
prebreak,601888,2012-09-03,S,S,A,C,S,S,A,11.8161,12.57,11.92,0.65,,1,12.57,12.5403,2012-09-10,0,-0.0603,1,12.57,12.5576,2012-09-11,0,-0.0338,1,12.57,12.5576,2012-09-11,0,-0.0338,601888_2012-09-03,0.0088
prebreak,000538,2012-09-05,S,S,A,C,S,S,A,20.3321,20.67,19.63,1.04,,1,20.67,21.5187,2012-09-12,0,0.8004,1,20.67,21.366,2012-09-19,0,0.6537,1,20.67,22.0947,2012-10-10,0,1.3539,000538_2012-09-05,0.0057
prebreak,600547,2012-09-14,S,S,A,C,S,S,A,19.023,17.05,16.24,0.81,,1,17.05,19.977,2012-09-21,0,3.5953,1,17.05,20.001,2012-09-28,0,3.6249,1,17.05,18.6442,2012-10-19,0,1.951,600547_2012-09-14,0.0531
prebreak,601888,2012-09-24,S,S,A,C,S,S,A,11.8592,12.87,12.3,0.57,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,12.87,12.9111,2012-10-29,0,0.0548,601888_2012-09-24,0.0196
prebreak,000568,2012-10-18,S,S,A,C,S,S,A,26.5707,26.08,24.92,1.16,,1,26.08,25.5586,2012-10-25,0,-0.4663,1,26.08,26.1764,2012-11-01,0,0.0659,1,26.08,24.92,2012-11-06,1,-1.0165,000568_2012-10-18,0.0062
prebreak,600141,2012-12-06,S,S,A,C,S,S,A,10.1652,10.83,10.29,0.54,,1,10.83,10.5181,2012-12-13,0,-0.5924,1,10.83,11.4807,2012-12-20,0,1.1891,1,10.83,11.7054,2013-01-08,0,1.6048,600141_2012-12-06,-0.01
prebreak,002353,2012-12-18,S,S,A,C,S,S,A,20.3968,21.65,20.63,1.02,,1,21.65,21.6998,2012-12-25,0,0.0326,1,21.65,21.7368,2013-01-04,0,0.069,1,21.65,27.6162,2013-01-18,0,5.8294,002353_2012-12-18,-0.0041
prebreak,600547,2012-12-21,S,S,A,C,S,S,A,17.206,17.97,17.02,0.95,,1,17.97,18.0977,2012-12-28,0,0.12,1,17.97,17.5848,2013-01-09,0,-0.4196,1,17.97,18.0114,2013-01-23,0,0.0292,600547_2012-12-21,-0.0086
prebreak,002393,2013-05-10,S,S,A,C,S,S,A,16.8956,17.36,16.49,0.87,,1,17.36,18.1686,2013-05-17,0,0.9137,1,17.36,17.9263,2013-05-24,0,0.6354,1,17.36,16.8291,2013-06-07,0,-0.625,002393_2013-05-10,0.0102
prebreak,002393,2013-05-17,S,S,A,C,S,S,A,18.1686,17.36,16.49,0.87,,1,17.36,17.9073,2013-05-22,0,0.6136,1,17.36,17.9073,2013-05-22,0,0.6136,1,17.36,17.9073,2013-05-22,0,0.6136,002393_2013-05-17,0.02
prebreak,601808,2013-07-10,S,S,A,C,S,S,A,12.0256,13.36,12.75,0.61,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,13.36,13.1583,2013-08-07,0,-0.347,601808_2013-07-10,0.0284
prebreak,002393,2013-11-01,S,S,A,C,S,S,A,15.6892,17.83,16.9,0.93,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,17.83,18.4679,2013-11-29,0,0.6709,002393_2013-11-01,0.0019
prebreak,601336,2013-12-03,S,S,A,C,S,S,A,18.2803,18.06,17.11,0.95,,1,18.06,17.8224,2013-12-06,0,-0.2644,1,18.06,17.8224,2013-12-06,0,-0.2644,1,18.06,17.8224,2013-12-06,0,-0.2644,601336_2013-12-03,0.0086
prebreak,600062,2014-02-14,S,S,A,C,S,S,A,11.487,11.73,11.22,0.51,,1,11.73,11.5752,2014-02-21,0,-0.3208,1,11.73,11.22,2014-02-25,1,-1.0169,1,11.73,11.22,2014-02-25,1,-1.0169,600062_2014-02-14,0.0131
prebreak,000568,2014-02-19,S,S,A,C,S,S,A,12.5313,13.31,12.61,0.7,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,13.31,13.3478,2014-03-19,0,0.0395,000568_2014-02-19,0.0132
prebreak,601336,2014-02-19,S,S,A,C,S,S,A,16.5741,16.76,16.02,0.74,,1,16.76,16.02,2014-02-24,1,-1.0166,1,16.76,16.02,2014-02-24,1,-1.0166,1,16.76,16.02,2014-02-24,1,-1.0166,601336_2014-02-19,0.0242
prebreak,002275,2014-03-21,S,S,A,C,S,S,A,10.8236,9.9,9.37,0.53,,1,9.9,11.2651,2014-03-26,0,2.5599,1,9.9,11.2651,2014-03-26,0,2.5599,1,9.9,10.5834,2014-04-21,0,1.2744,002275_2014-03-21,0.0531
prebreak,600309,2014-03-21,S,S,A,C,S,S,A,10.2445,10.72,10.19,0.53,,0,0.0,0.0,,0,0.0,1,10.72,10.7885,2014-04-04,0,0.1138,1,10.72,10.19,2014-04-18,1,-1.0147,600309_2014-03-21,0.0316
prebreak,600600,2014-05-16,S,S,A,C,S,S,A,32.7913,33.29,31.81,1.48,,1,33.29,34.7723,2014-05-23,0,0.9838,1,33.29,34.2247,2014-05-30,0,0.6141,1,33.29,32.9362,2014-06-16,0,-0.256,600600_2014-05-16,0.0206
prebreak,000917,2014-06-03,S,S,A,C,S,S,A,13.9795,14.22,13.7,0.52,,1,14.22,13.902,2014-06-09,0,-0.632,1,14.22,13.902,2014-06-09,0,-0.632,1,14.22,13.902,2014-06-09,0,-0.632,000917_2014-06-03,0.0133
prebreak,000917,2014-06-10,S,S,A,C,S,S,A,14.1926,14.45,13.74,0.71,,1,14.45,14.2895,2014-06-17,0,-0.2414,1,14.45,14.0182,2014-06-24,0,-0.6232,1,14.45,16.537,2014-07-08,0,2.9222,000917_2014-06-10,0.0209
prebreak,000917,2014-06-24,S,S,A,C,S,S,A,14.0182,14.74,14.08,0.66,,1,14.74,14.6867,2014-07-01,0,-0.0977,1,14.74,16.537,2014-07-08,0,2.7041,1,14.74,15.3921,2014-07-22,0,0.9705,000917_2014-06-24,0.0091
prebreak,600332,2014-07-14,S,S,A,C,S,S,A,18.5504,20.39,19.46,0.93,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,20.39,21.2752,2014-08-11,0,0.9346,600332_2014-07-14,0.0078
prebreak,600535,2014-07-25,S,S,A,C,S,S,A,21.7159,22.03,21.09,0.94,,1,22.03,22.625,2014-08-01,0,0.6147,1,22.03,22.1929,2014-08-08,0,0.1554,1,22.03,22.2378,2014-08-22,0,0.2031,600535_2014-07-25,-0.0013
prebreak,600138,2014-09-02,S,S,A,C,S,S,A,14.4916,13.76,13.1,0.66,,1,13.76,15.1121,2014-09-05,0,2.0316,1,13.76,15.1121,2014-09-05,0,2.0316,1,13.76,15.1121,2014-09-05,0,2.0316,600138_2014-09-02,0.0035
prebreak,600058,2014-09-18,S,S,A,C,S,S,A,12.0634,12.28,11.69,0.59,,0,0.0,0.0,,0,0.0,1,12.28,12.322,2014-10-09,0,0.0553,1,12.28,11.69,2014-10-22,1,-1.0152,600058_2014-09-18,0.0125
prebreak,600315,2014-09-18,S,S,A,C,S,S,A,31.4898,32.41,30.82,1.59,,0,0.0,0.0,,0,0.0,1,32.41,32.8049,2014-10-09,0,0.2327,1,32.41,32.1829,2014-10-10,0,-0.1582,600315_2014-09-18,0.0031
prebreak,601888,2014-09-26,S,S,A,C,S,S,A,16.9176,17.41,16.55,0.86,,1,17.41,16.55,2014-09-30,1,-1.0148,1,17.41,16.55,2014-09-30,1,-1.0148,1,17.41,16.55,2014-09-30,1,-1.0148,601888_2014-09-26,-0.0377
prebreak,000969,2014-10-08,S,S,A,C,S,S,A,9.8683,10.0,9.48,0.52,,1,10.0,9.622,2014-10-13,0,-0.741,1,10.0,9.622,2014-10-13,0,-0.741,1,10.0,9.622,2014-10-13,0,-0.741,000969_2014-10-08,-0.0038
prebreak,600594,2014-10-14,S,S,A,C,S,S,A,16.3916,16.58,15.88,0.7,,1,16.58,16.6708,2014-10-21,0,0.1117,1,16.58,15.88,2014-10-28,1,-1.0174,1,16.58,15.88,2014-10-28,1,-1.0174,600594_2014-10-14,0.0042
prebreak,002051,2014-10-24,S,S,A,C,S,S,A,10.733,11.35,10.78,0.57,,1,11.35,11.4525,2014-10-31,0,0.1646,1,11.35,14.0827,2014-11-07,0,4.7761,1,11.35,14.3599,2014-11-21,0,5.262,002051_2014-10-24,-0.0125
prebreak,600648,2014-10-24,S,S,A,C,S,S,A,20.9791,21.44,20.64,0.8,,1,21.44,21.7709,2014-10-31,0,0.393,1,21.44,21.4617,2014-11-07,0,0.0068,1,21.44,23.8598,2014-11-21,0,3.0024,600648_2014-10-24,0.0109
prebreak,600486,2014-10-29,S,S,A,C,S,S,A,13.7869,13.36,12.73,0.63,,1,13.36,13.4459,2014-11-05,0,0.1201,1,13.36,13.4123,2014-11-12,0,0.0669,1,13.36,14.7038,2014-11-26,0,2.1156,600486_2014-10-29,0.0611
prebreak,002051,2014-10-31,S,S,A,C,S,S,A,11.4525,11.04,10.54,0.5,,1,11.04,14.0827,2014-11-07,0,6.0648,1,11.04,14.4247,2014-11-14,0,6.7484,1,11.04,15.3329,2014-11-28,0,8.5637,002051_2014-10-31,0.0221
prebreak,000538,2014-11-04,S,S,A,C,S,S,A,27.7337,29.03,27.65,1.38,,0,0.0,0.0,,0,0.0,1,29.03,28.2231,2014-11-18,0,-0.6003,1,29.03,28.2231,2014-11-18,0,-0.6003,000538_2014-11-04,-0.0142
prebreak,000917,2014-11-05,S,S,A,C,S,S,A,17.247,18.1,17.17,0.93,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,18.1,18.5482,2014-12-03,0,0.4669,000917_2014-11-05,-0.0034
prebreak,002428,2014-11-05,S,S,A,C,S,S,A,13.5918,14.06,13.48,0.58,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,14.06,15.9547,2014-12-03,0,3.2463,002428_2014-11-05,-0.0249
prebreak,600654,2014-11-05,S,S,A,C,S,S,A,10.2994,10.5,10.0,0.5,,1,10.5,10.9332,2014-11-12,0,0.85,1,10.5,11.161,2014-11-25,0,1.3052,1,10.5,10.0,2014-12-09,1,-1.0153,600654_2014-11-05,0.0156
prebreak,600292,2014-11-06,S,S,A,C,S,S,A,17.0662,15.94,15.28,0.66,,1,15.94,17.7538,2014-11-13,0,2.7281,1,15.94,16.357,2014-11-20,0,0.613,1,15.94,16.8564,2014-12-04,0,1.3692,600292_2014-11-06,0.0221
prebreak,600436,2014-11-06,S,S,A,C,S,S,A,20.4976,22.17,21.11,1.06,,0,0.0,0.0,,0,0.0,1,22.17,21.4908,2014-11-18,0,-0.6563,1,22.17,21.4908,2014-11-18,0,-0.6563,600436_2014-11-06,-0.0122
prebreak,000701,2014-11-12,S,S,A,C,S,S,A,11.7466,12.33,11.81,0.52,,0,0.0,0.0,,0,0.0,1,12.33,12.2475,2014-11-26,0,-0.1766,1,12.33,11.81,2014-12-05,1,-1.0174,000701_2014-11-12,0.0179
prebreak,000917,2014-11-12,S,S,A,C,S,S,A,16.7711,17.81,17.08,0.73,,0,0.0,0.0,,0,0.0,1,17.81,17.8199,2014-11-26,0,-0.005,1,17.81,17.08,2014-12-09,1,-1.0179,000917_2014-11-12,0.0064
prebreak,002428,2014-11-12,S,S,A,C,S,S,A,13.423,13.72,13.01,0.71,,1,13.72,13.6414,2014-11-19,0,-0.1253,1,13.72,14.4059,2014-11-26,0,0.9508,1,13.72,15.1207,2014-12-10,0,1.9569,002428_2014-11-12,0.0127
prebreak,300070,2014-11-12,S,S,A,C,S,S,A,10.7235,11.16,10.6,0.56,,1,11.16,11.2285,2014-11-19,0,0.107,1,11.16,11.1022,2014-11-20,0,-0.1183,1,11.16,11.1022,2014-11-20,0,-0.1183,300070_2014-11-12,-0.0036
prebreak,600706,2014-11-12,S,S,A,C,S,S,A,12.3416,11.62,11.03,0.59,,1,11.62,12.4161,2014-11-19,0,1.3335,1,11.62,13.8159,2014-11-26,0,3.7046,1,11.62,12.8634,2014-12-10,0,2.0911,600706_2014-11-12,0.0219
prebreak,600111,2014-11-13,S,S,A,C,S,S,A,14.5046,13.99,13.44,0.55,,1,13.99,13.9438,2014-11-18,0,-0.1033,1,13.99,13.9438,2014-11-18,0,-0.1033,1,13.99,13.9438,2014-11-18,0,-0.1033,600111_2014-11-13,0.044
prebreak,600436,2014-11-13,S,S,A,C,S,S,A,21.2056,22.17,21.11,1.06,,1,22.17,21.4908,2014-11-18,0,-0.6563,1,22.17,21.4908,2014-11-18,0,-0.6563,1,22.17,21.4908,2014-11-18,0,-0.6563,600436_2014-11-13,-0.0187
prebreak,600309,2014-11-14,S,S,A,C,S,S,A,11.1859,11.74,11.16,0.58,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,11.74,12.7254,2014-12-12,0,1.6824,600309_2014-11-14,0.0231
prebreak,600597,2014-11-14,S,S,A,C,S,S,A,14.1931,13.76,13.04,0.72,,1,13.76,13.2769,2014-11-19,0,-0.6851,1,13.76,13.2769,2014-11-19,0,-0.6851,1,13.76,13.2769,2014-11-19,0,-0.6851,600597_2014-11-14,0.0314
prebreak,600648,2014-11-14,S,S,A,C,S,S,A,24.7798,22.06,21.12,0.94,,1,22.06,23.7089,2014-11-19,0,1.7353,1,22.06,23.7089,2014-11-19,0,1.7353,1,22.06,24.9683,2014-12-12,0,3.0741,600648_2014-11-14,0.1001
prebreak,000049,2014-11-17,S,S,A,C,S,S,A,20.2255,20.42,19.6,0.82,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,20.42,19.9439,2014-12-08,0,-0.5992,000049_2014-11-17,0.0127
prebreak,600729,2014-11-17,S,S,A,C,S,S,A,12.7259,13.07,12.41,0.66,,0,0.0,0.0,,0,0.0,1,13.07,13.2192,2014-12-01,0,0.2109,1,13.07,14.4173,2014-12-15,0,2.025,600729_2014-11-17,0.0014
prebreak,000826,2014-11-21,S,S,A,C,S,S,A,16.7623,17.04,16.35,0.69,,1,17.04,17.2064,2014-11-27,0,0.2222,1,17.04,17.2064,2014-11-27,0,0.2222,1,17.04,17.2064,2014-11-27,0,0.2222,000826_2014-11-21,0.0067
prebreak,601601,2014-11-21,S,S,A,C,S,S,A,14.1737,13.52,13.01,0.51,,1,13.52,16.21,2014-11-28,0,5.251,1,13.52,17.9305,2014-12-05,0,8.6224,1,13.52,17.8969,2014-12-19,0,8.5565,601601_2014-11-21,0.0303
prebreak,600535,2014-11-24,S,S,A,C,S,S,A,22.3724,23.19,22.21,0.98,,1,23.19,23.2815,2014-12-01,0,0.0753,1,23.19,23.158,2014-12-03,0,-0.0506,1,23.19,23.158,2014-12-03,0,-0.0506,600535_2014-11-24,-0.0131
prebreak,300257,2014-11-25,S,S,A,C,S,S,A,16.9947,16.36,15.65,0.71,,1,16.36,16.6997,2014-12-02,0,0.4607,1,16.36,16.2456,2014-12-09,0,-0.1785,1,16.36,17.388,2014-12-23,0,1.4294,300257_2014-11-25,0.0602
prebreak,002428,2014-11-26,S,S,A,C,S,S,A,14.4059,14.08,13.39,0.69,,1,14.08,15.9547,2014-12-03,0,2.6998,1,14.08,15.1207,2014-12-10,0,1.4919,1,14.08,14.3364,2014-12-24,0,0.3559,002428_2014-11-26,-0.0089
prebreak,600805,2014-11-26,S,S,A,C,S,S,A,10.4757,10.56,10.02,0.54,,1,10.56,10.9583,2014-12-03,0,0.7223,1,10.56,11.4599,2014-12-10,0,1.6505,1,10.56,10.8637,2014-12-24,0,0.5472,600805_2014-11-26,-0.0054
prebreak,600292,2014-11-27,S,S,A,C,S,S,A,17.4498,15.94,15.28,0.66,,1,15.94,16.8564,2014-12-04,0,1.3692,1,15.94,17.6091,2014-12-11,0,2.5089,1,15.94,16.6827,2014-12-25,0,1.1062,600292_2014-11-27,-0.0167
prebreak,601601,2014-11-28,S,S,A,C,S,S,A,16.21,13.52,13.01,0.51,,1,13.52,17.9305,2014-12-05,0,8.6224,1,13.52,16.4923,2014-12-12,0,5.8041,1,13.52,20.1079,2014-12-26,0,12.8892,601601_2014-11-28,-0.0187
prebreak,002106,2014-12-01,S,S,A,C,S,S,A,11.2275,11.76,11.16,0.6,,1,11.76,12.4973,2014-12-08,0,1.2131,1,11.76,12.6277,2014-12-15,0,1.4304,1,11.76,11.16,2014-12-23,1,-1.0143,002106_2014-12-01,-0.022
prebreak,000869,2014-12-02,S,S,A,C,S,S,A,25.5879,25.16,24.04,1.12,,1,25.16,26.7687,2014-12-09,0,1.4184,1,25.16,28.1907,2014-12-16,0,2.6872,1,25.16,28.8726,2014-12-30,0,3.2957,000869_2014-12-02,0.0079
prebreak,002304,2014-12-03,S,S,A,C,S,S,A,33.4318,31.24,29.8,1.44,,1,31.24,35.3875,2014-12-10,0,2.8619,1,31.24,33.837,2014-12-17,0,1.7858,1,31.24,39.539,2014-12-31,0,5.7431,002304_2014-12-03,0.0315
prebreak,600805,2014-12-03,S,S,A,C,S,S,A,10.9583,10.89,10.33,0.56,,1,10.89,11.4599,2014-12-10,0,1.0022,1,10.89,11.4883,2014-12-17,0,1.0529,1,10.89,10.6934,2014-12-31,0,-0.3657,600805_2014-12-03,0.0266
prebreak,600831,2014-12-03,S,S,A,C,S,S,A,9.6705,9.59,9.09,0.5,,1,9.59,9.09,2014-12-05,1,-1.0139,1,9.59,9.09,2014-12-05,1,-1.0139,1,9.59,9.09,2014-12-05,1,-1.0139,600831_2014-12-03,0.0154
prebreak,002106,2014-12-08,S,S,A,C,S,S,A,12.4973,11.76,11.16,0.6,,1,11.76,12.6277,2014-12-15,0,1.4304,1,11.76,11.3058,2014-12-22,0,-0.7714,1,11.76,11.16,2014-12-23,1,-1.0143,002106_2014-12-08,0.0732
prebreak,600329,2014-12-08,S,S,A,C,S,S,A,10.999,11.54,10.96,0.58,,1,11.54,11.581,2014-12-15,0,0.0555,1,11.54,11.3409,2014-12-17,0,-0.3581,1,11.54,11.3409,2014-12-17,0,-0.3581,600329_2014-12-08,-0.0007
prebreak,000701,2014-12-10,S,S,A,C,S,S,A,12.385,12.67,12.1,0.57,,1,12.67,13.2002,2014-12-17,0,0.9126,1,12.67,12.1,2014-12-22,1,-1.0163,1,12.67,12.1,2014-12-22,1,-1.0163,000701_2014-12-10,0.0319
prebreak,002653,2014-12-16,S,S,A,C,S,S,A,16.4185,17.4,16.51,0.89,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,17.4,16.51,2015-01-15,1,-1.0142,002653_2014-12-16,-0.015
prebreak,002038,2015-01-05,S,S,A,C,S,S,A,15.9656,16.01,15.25,0.76,,1,16.01,16.0688,2015-01-08,0,0.0613,1,16.01,16.0688,2015-01-08,0,0.0613,1,16.01,16.0688,2015-01-08,0,0.0613,002038_2015-01-05,0.0162
prebreak,000929,2015-01-07,S,S,A,C,S,S,A,10.5987,10.67,10.12,0.55,,1,10.67,10.2703,2015-01-12,0,-0.741,1,10.67,10.2703,2015-01-12,0,-0.741,1,10.67,10.2703,2015-01-12,0,-0.741,000929_2015-01-07,0.0162
prebreak,002186,2015-01-07,S,S,A,C,S,S,A,17.9385,18.36,17.57,0.79,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,18.36,18.4248,2015-01-28,0,0.0643,002186_2015-01-07,-0.0134
prebreak,000929,2015-01-14,S,S,A,C,S,S,A,10.0116,10.67,10.12,0.55,,0,0.0,0.0,,0,0.0,1,10.67,11.6437,2015-01-28,0,1.7545,1,10.67,11.365,2015-02-11,0,1.2481,000929_2015-01-14,-0.0157
prebreak,600138,2015-01-16,S,S,A,C,S,S,A,16.1847,15.83,15.12,0.71,,1,15.83,16.7428,2015-01-23,0,1.2678,1,15.83,16.2982,2015-01-30,0,0.642,1,15.83,16.459,2015-02-13,0,0.8684,600138_2015-01-16,0.0295
