code,date,grade,entry,risk,sig_day_pct,trig_pct,conf_ratio,variant,r_full,r_money,weight,kind
600597,2014-11-14,S,13.76,0.72,0.0314,-0.0225,0.0,1R,1.295,1.295,1.0,direct_1r
600648,2014-11-14,S,22.06,0.94,0.1001,0.0003,0.0,1R,3.074,3.074,1.0,direct_1r
000049,2014-11-17,S,20.42,0.82,0.0127,0.0106,0.0,1R,-1.018,-1.018,1.0,direct_1r
600729,2014-11-17,S,13.07,0.66,0.0014,0.0425,0.0,1R,2.025,2.025,1.0,direct_1r
000826,2014-11-21,S,17.04,0.69,0.0067,0.0143,0.0,1R,4.151,4.151,1.0,direct_1r
601601,2014-11-21,S,13.52,0.51,0.0303,0.0702,0.0,1R,8.557,8.557,1.0,direct_1r
600535,2014-11-24,S,23.19,0.98,-0.0131,0.03,0.0,1R,-1.017,-1.017,1.0,direct_1r
300257,2014-11-25,S,16.36,0.71,0.0602,0.0105,0.0,1R,1.429,1.429,1.0,direct_1r
002428,2014-11-26,S,14.08,0.69,-0.0089,0.0048,0.0,1R,0.356,0.356,1.0,direct_1r
600805,2014-11-26,S,10.56,0.54,-0.0054,0.0235,0.0,1R,0.547,0.547,1.0,direct_1r
600292,2014-11-27,S,15.94,0.66,-0.0167,-0.0402,0.0,1R,1.106,1.106,1.0,direct_1r
601601,2014-11-28,S,13.52,0.51,-0.0187,-0.0178,0.0,1R,12.889,12.889,1.0,direct_1r
002106,2014-12-01,S,11.76,0.6,-0.022,0.0412,0.0,1R,-1.014,-1.014,1.0,direct_1r
000869,2014-12-02,S,25.16,1.12,0.0079,0.024,0.0,1R,3.296,3.296,1.0,direct_1r
002304,2014-12-03,S,31.24,1.44,0.0315,0.0456,0.0,1R,5.743,5.743,1.0,direct_1r
600805,2014-12-03,S,10.89,0.56,0.0266,0.0078,0.0,1R,-0.366,-0.366,1.0,direct_1r
600831,2014-12-03,S,9.59,0.5,0.0154,0.0,0.0,1R,-1.014,-1.014,1.0,direct_1r
002106,2014-12-08,S,11.76,0.6,0.0732,-0.0411,0.0,1R,-1.014,-1.014,1.0,direct_1r
600329,2014-12-08,S,11.54,0.58,-0.0007,0.0258,0.0,1R,-1.014,-1.014,1.0,direct_1r
000701,2014-12-10,S,12.67,0.57,0.0319,0.0999,0.0,1R,-1.016,-1.016,1.0,direct_1r
002653,2014-12-16,S,17.4,0.89,-0.015,0.0498,0.0,1R,-1.014,-1.014,1.0,direct_1r
002038,2015-01-05,S,16.01,0.76,0.0162,0.0266,0.0,1R,0.38,0.38,1.0,direct_1r
000929,2015-01-07,S,10.67,0.55,0.0162,0.0441,0.0,1R,-1.014,-1.014,1.0,direct_1r
002186,2015-01-07,S,18.36,0.79,-0.0134,0.0269,0.0,1R,0.632,0.632,1.0,direct_1r
000929,2015-01-14,S,10.67,0.55,-0.0157,0.0538,0.0,1R,1.248,1.248,1.0,direct_1r
600138,2015-01-16,S,15.83,0.71,0.0295,-0.0169,0.0,1R,0.868,0.868,1.0,direct_1r
000049,2015-01-21,S,18.12,0.92,0.0251,0.0134,0.0,1R,3.358,3.358,1.0,direct_1r
600097,2015-01-26,S,12.05,0.57,0.1,0.0116,0.0,1R,1.661,1.661,1.0,direct_1r
002008,2015-01-27,S,16.34,0.83,-0.0187,0.0034,0.0,1R,-1.014,-1.014,1.0,direct_1r
002422,2015-01-27,S,12.31,0.57,0.0239,0.0221,0.0,1R,4.403,4.403,1.0,direct_1r
