code,date,grade,entry,risk,sig_day_pct,trig_pct,conf_ratio,variant,r_full,r_money,weight,kind
603288,2020-02-19,S,46.8,2.14,0.0044,0.0222,0.0,V3,-1.016,-0.508,0.5,stop_half
002025,2020-02-20,S,26.38,1.33,0.0139,0.0367,1.0414,V3,-1.014,-1.014,1.0,confirmed
300423,2020-02-20,S,13.68,0.72,0.0118,0.0124,0.0,V3,-1.014,-0.507,0.5,stop_half
600999,2020-02-20,S,12.72,0.64,0.0494,-0.0135,1.036,V3,0.7,0.35,0.5,reject_half
601869,2020-02-21,S,33.45,1.7,0.018,0.094,1.036,V3,-1.014,-1.014,1.0,confirmed
600271,2020-02-24,S,22.52,1.09,0.0165,-0.0264,1.0561,V3,-1.015,-0.508,0.5,skip_add
600298,2020-02-24,S,25.69,1.29,0.0308,0.0441,1.0618,V3,1.589,1.589,1.0,confirmed
600498,2020-02-24,S,23.96,1.12,0.1,0.0743,1.1755,V3,10.806,10.806,1.0,confirmed
603508,2020-02-24,S,21.5,0.98,0.0307,-0.0242,1.0949,V3,-1.016,-1.016,1.0,confirmed
002727,2020-02-25,S,20.79,1.02,-0.0132,0.0389,0.0,V3,0.131,0.065,0.5,no_confirm_space
600048,2020-02-25,S,12.41,0.64,0.0113,0.0478,1.0037,V3,-1.014,-1.014,1.0,confirmed
300142,2020-02-26,S,30.02,1.44,-0.0336,0.0087,1.0283,V3,-1.015,-1.015,1.0,confirmed
002462,2020-02-27,S,13.98,0.53,0.007,0.0274,1.005,V3,-1.019,-1.019,1.0,confirmed
300423,2020-02-27,S,13.78,0.72,0.0,0.0363,1.0517,V3,-1.014,-0.507,0.5,skip_add
603332,2020-03-02,S,12.27,0.6,0.0271,-0.0071,1.0727,V3,-1.015,-1.015,1.0,confirmed
002727,2020-03-03,S,20.79,1.02,0.0147,0.0389,1.0316,V3,2.162,2.162,1.0,confirmed
000623,2020-03-04,S,14.53,0.73,0.0154,0.0233,0.9727,V3,-0.559,-0.279,0.5,reject_half
000777,2020-03-04,S,10.89,0.53,0.0161,0.0166,1.119,V3,-1.015,-1.015,1.0,confirmed
603790,2020-03-04,S,13.84,0.61,0.0618,0.0455,0.0,V3,0.666,0.333,0.5,no_confirm_space
002727,2020-03-10,S,20.18,0.91,0.006,0.0822,1.0376,V3,4.101,4.101,1.0,confirmed
300491,2020-03-10,S,12.12,0.6,0.0492,0.0028,1.166,V3,2.079,2.079,1.0,confirmed
002727,2020-03-17,S,20.18,0.91,-0.017,0.0822,1.0376,V3,3.7,3.7,1.0,confirmed
603858,2020-03-17,S,17.72,0.73,-0.006,0.0283,0.0,V3,0.016,0.008,0.5,no_confirm_space
603856,2020-04-08,S,10.18,0.51,-0.0159,0.0515,1.0516,V3,1.459,1.459,1.0,confirmed
603868,2020-04-30,S,32.13,1.57,0.0122,0.062,1.1211,V3,3.33,1.665,0.5,skip_add
600835,2020-05-11,S,12.77,0.6,0.0274,0.0246,0.9953,V3,-0.117,-0.058,0.5,reject_half
600835,2020-05-18,S,12.77,0.6,-0.0028,0.0246,0.9953,V3,-0.117,-0.058,0.5,reject_half
002025,2020-05-27,S,27.14,1.21,0.0011,0.0075,0.9808,V3,-0.448,-0.224,0.5,reject_half
603515,2020-05-27,S,19.7,0.75,0.0272,0.0086,1.0406,V3,2.379,2.379,1.0,confirmed
600535,2020-06-02,S,12.52,0.5,-0.0094,0.0183,0.9753,V3,-0.638,-0.319,0.5,reject_half
603351,2020-06-04,S,21.56,1.09,-0.0157,-0.0995,0.9753,V3,-0.503,-0.252,0.5,reject_half
300531,2020-06-05,S,17.08,0.79,0.0548,-0.0294,0.9781,V3,-0.489,-0.245,0.5,reject_half
600535,2020-06-09,S,12.52,0.5,0.0068,-0.0028,1.0038,V3,5.851,5.851,1.0,confirmed
600482,2020-06-11,S,15.86,0.65,-0.0044,0.0462,1.1403,V3,2.914,1.457,0.5,skip_add
300531,2020-06-12,S,17.08,0.79,-0.0253,0.0214,1.0606,V3,6.79,6.79,1.0,confirmed
601088,2020-06-16,S,10.38,0.5,0.0027,0.051,1.0752,V3,-0.027,-0.014,0.5,skip_add
601601,2020-07-01,S,22.5,1.14,0.0382,0.0417,1.0831,V3,1.13,1.13,1.0,confirmed
002032,2020-07-02,S,51.32,2.27,0.0516,-0.005,1.1255,V3,5.523,5.523,1.0,confirmed
601336,2020-07-06,S,35.76,1.69,0.1001,0.0196,1.2768,V3,3.949,3.949,1.0,confirmed
603351,2020-07-06,S,21.88,0.8,0.0198,-0.0059,1.0616,V3,15.35,15.35,1.0,confirmed
601601,2020-07-08,S,22.5,1.14,0.0327,0.0009,1.1311,V3,1.304,1.304,1.0,confirmed
600036,2020-07-09,S,25.69,1.35,-0.0146,-0.0377,1.1027,V3,1.782,1.782,1.0,confirmed
600036,2020-07-30,S,26.9,1.12,-0.0145,0.048,1.0452,V3,0.986,0.986,1.0,confirmed
