date,balance,injected_total
2025-09-25,20756.14,0.0
2025-10-09,20788.78,0.0
2025-10-14,21881.81,0.0
2025-10-27,22149.96,0.0
2025-10-28,22370.24,0.0
2025-10-29,24299.27,0.0
2025-11-04,24011.82,0.0
2025-11-07,25599.96,0.0
2025-11-13,23705.36,0.0
2025-11-24,23472.67,0.0
2025-11-21,25098.86,0.0
2025-12-02,22668.12,0.0
2025-12-09,23417.48,0.0
2025-12-15,22380.84,0.0
2025-12-17,23488.3,0.0
2025-12-22,23441.94,0.0
2025-12-23,23717.69,0.0
2025-12-30,22030.91,0.0
2026-01-06,20703.02,0.0
2026-01-16,20565.75,0.0
2026-01-21,21969.88,0.0
2026-01-23,22814.71,0.0
2026-01-29,22960.25,0.0
2026-02-03,22758.82,0.0
2026-02-12,23327.03,0.0
2026-02-13,24730.81,0.0
2026-02-26,23327.83,0.0
2026-02-27,24678.03,0.0
2026-03-02,25138.08,0.0
2026-03-09,23426.02,0.0
2026-03-10,24471.48,0.0
2026-03-13,22228.06,0.0
2026-03-17,22980.31,0.0
2026-03-17,24724.44,0.0
2026-03-20,26810.4,0.0
2026-03-23,28077.77,0.0
2026-03-19,29415.34,0.0
2026-04-03,24238.49,0.0
2026-04-02,25356.89,0.0
2026-04-21,23812.83,0.0
2026-04-22,24235.57,0.0
2026-04-27,24387.59,0.0
2026-05-06,24372.84,0.0
2026-05-08,23890.82,0.0
2026-05-08,25413.77,0.0
2026-05-13,24882.13,0.0
2026-05-11,26705.41,0.0
2026-05-22,21863.25,0.0
2026-05-25,22143.18,0.0
2026-05-28,22836.67,0.0
2026-05-28,24664.75,0.0
2026-06-05,24491.02,0.0
2026-06-05,26428.05,0.0
2026-06-04,27642.98,0.0
2026-06-18,24542.34,0.0
2026-06-22,24858.9,0.0
2026-06-22,26614.02,0.0
2026-06-25,26602.04,0.0
2026-07-08,25613.15,0.0
2026-07-08,26879.52,0.0
2026-07-13,25796.89,0.0
2026-07-17,27104.24,0.0
2026-07-17,28108.74,0.0
2026-07-28,29497.04,0.0
2026-07-17,30535.02,0.0
