code,date,grade,r,entry,cause
000669,2017-05-16,S,-1.0,11.93,slow_draw
002643,2017-05-16,S,-0.87,12.88,slow_draw
600566,2017-05-16,S,2.05,22.73,slow_draw
002223,2017-05-17,S,0.31,19.85,fade_high
002232,2017-05-17,S,0.19,12.1,slow_draw
603369,2017-05-19,S,0.07,10.89,slow_draw
002232,2017-05-24,S,-0.36,12.1,slow_draw
002142,2017-05-25,S,1.16,10.49,slow_draw
002019,2017-05-31,S,2.15,13.78,slow_draw
600332,2017-06-05,S,-0.1,23.37,slow_draw
002597,2017-06-08,S,1.88,16.19,slow_draw
600498,2017-06-08,S,1.96,20.63,slow_draw
603589,2017-06-09,S,0.92,28.17,slow_draw
000998,2017-06-13,S,0.6,21.14,slow_draw
600335,2017-06-13,S,-2.52,10.61,slow_draw
000581,2017-06-15,S,2.82,14.34,slow_draw
600729,2017-06-15,S,0.65,15.99,slow_draw
600420,2017-06-16,S,-1.63,14.16,slow_draw
002142,2017-06-19,S,3.35,10.79,slow_draw
600085,2017-06-19,S,-0.85,29.67,fade_high
002583,2017-06-20,S,1.99,15.14,slow_draw
000400,2017-06-21,S,0.1,15.79,slow_draw
600315,2017-06-21,S,1.7,27.18,slow_draw
600056,2017-06-23,S,-1.01,15.61,slow_draw
000756,2017-06-26,S,-0.08,9.93,slow_draw
000998,2017-06-27,S,1.0,20.86,slow_draw
002583,2017-07-04,S,0.67,15.4,slow_draw
002142,2017-07-10,S,2.01,10.74,slow_draw
601969,2017-07-19,S,0.71,10.43,slow_draw
300463,2017-07-21,S,-0.61,23.65,slow_draw
000999,2017-07-25,S,-1.0,14.27,slow_draw
000513,2017-07-26,S,-0.68,22.03,slow_draw
000792,2017-07-27,S,0.9,10.75,slow_draw
300050,2017-07-31,S,0.03,10.36,slow_draw
600872,2017-07-31,S,3.47,16.7,slow_draw
300476,2017-08-03,S,1.76,12.4,slow_draw
603188,2017-08-03,S,0.42,18.66,slow_draw
002048,2017-08-04,S,3.42,15.02,slow_draw
600990,2017-08-04,S,-1.23,34.65,slow_draw
002038,2017-08-08,S,1.44,16.26,fade_high
300003,2017-08-08,S,1.12,19.49,slow_draw
603919,2017-08-08,S,0.88,13.05,slow_draw
000400,2017-08-09,S,-1.48,16.25,slow_draw
600315,2017-08-09,S,-0.23,29.28,slow_draw
000860,2017-08-14,S,-0.8,15.49,slow_draw
600315,2017-08-16,S,0.13,28.85,slow_draw
002326,2017-08-17,S,0.28,12.46,slow_draw
000756,2017-08-21,S,0.21,10.68,slow_draw
002311,2017-08-21,S,-0.16,16.94,slow_draw
002673,2017-08-23,S,1.15,13.55,slow_draw
300054,2017-08-25,S,-1.79,10.42,slow_draw
601688,2017-08-28,S,2.66,16.3,slow_draw
603288,2017-08-28,S,3.28,18.08,slow_draw
000701,2017-08-29,S,-2.41,13.92,slow_draw
600668,2017-08-29,S,-2.05,13.53,slow_draw
002491,2017-08-31,S,1.83,12.94,slow_draw
002410,2017-09-01,S,1.99,12.13,slow_draw
300307,2017-09-01,S,-0.71,10.13,slow_draw
600584,2017-09-01,S,3.66,15.22,slow_draw
002311,2017-09-04,S,-0.5,17.17,slow_draw
002126,2017-09-07,S,-1.01,10.04,slow_draw
300001,2017-09-07,S,0.39,16.0,fade_high
600062,2017-09-08,S,-0.16,14.99,slow_draw
000963,2017-09-11,S,2.11,23.76,slow_draw
300050,2017-09-11,S,-2.07,11.06,fade_high
000869,2017-09-12,S,2.01,31.6,fade_high
002117,2017-09-13,S,0.05,11.26,slow_draw
600062,2017-09-15,S,0.58,14.72,slow_draw
002311,2017-09-18,S,2.86,17.65,slow_draw
300347,2017-09-18,S,3.79,17.34,slow_draw
300335,2017-09-22,S,2.55,16.54,slow_draw
000988,2017-09-26,S,1.35,16.91,slow_draw
000938,2017-09-29,S,1.99,21.01,slow_draw
600486,2017-09-29,S,4.4,27.48,fade_high
002179,2017-10-11,S,0.96,13.84,slow_draw
600161,2017-10-11,S,-2.4,11.99,limit_down
000988,2017-10-17,S,-1.41,17.64,slow_draw
