code,date,exit,exit_date,r,stopped,reason
000929,2015-01-07,10.27031947286176,2015-01-12,-0.7409773220695284,False,收线未确认平仓
002186,2015-01-07,18.424828934304433,2015-01-28,0.06434801810687754,False,收线未确认平仓
000929,2015-01-14,22.21,2015-06-26,20.953856363636366,True,止损触发(层面1)
600138,2015-01-16,15.83,2015-02-06,-0.01694507042253521,True,止损触发(层面1)
000049,2015-01-21,21.91,2015-04-16,4.102001086956521,True,止损触发(层面1)
600097,2015-01-26,13.136446481027358,2015-01-29,1.8887797912760653,False,收线未确认平仓
002008,2015-01-27,15.51,2015-02-06,-1.014331325301205,True,止损(确认期)
002422,2015-01-27,16.21,2015-04-16,6.8213807017543875,True,止损触发(层面1)
000553,2015-01-29,13.34,2015-02-05,-1.014211111111112,True,止损触发(层面1)
600983,2015-02-03,10.22,2015-03-09,-1.0153607843137251,True,止损(确认期)
000423,2015-02-09,28.79517377383926,2015-03-06,-0.5080307660957416,False,收线未确认平仓
002038,2015-02-09,16.826593646197015,2015-02-27,0.006242042945928194,False,收线未确认平仓
000919,2015-02-10,14.15,2015-06-30,3.582545,True,止损触发(层面1)
600847,2015-02-10,27.45,2015-05-29,14.215949367088609,True,止损触发(层面1)
600983,2015-02-10,10.22,2015-03-09,-1.0153607843137251,True,止损(确认期)
000513,2015-02-11,12.638226700955673,2015-03-03,-0.15489711702428335,False,收线未确认平仓
000917,2015-02-13,32.65,2015-11-18,17.858860919540227,True,止损触发(层面1)
000963,2015-02-13,12.613841344263097,2015-03-06,-0.5254623479627464,False,收线未确认平仓
600062,2015-02-13,14.89,2015-06-26,3.5406050847457653,True,止损触发(层面1)
600557,2015-02-13,21.55,2015-06-29,2.5745417721518993,True,止损触发(层面1)
000919,2015-02-17,14.15,2015-06-30,3.582545,True,止损触发(层面1)
000028,2015-02-26,44.2,2015-06-23,8.650752531645571,True,止损触发(层面1)
000999,2015-02-26,11.27,2015-03-06,-1.01726,True,止损(确认期)
600054,2015-02-26,9.98402559867119,2015-03-06,0.012626664061155379,False,收线未确认平仓
000963,2015-02-27,12.613841344263097,2015-03-06,0.05616449879196183,False,收线未确认平仓
600557,2015-02-27,21.55,2015-06-29,3.045228000000001,True,止损触发(层面1)
600315,2015-03-09,36.20798465951977,2015-03-12,1.1216428239513747,False,收线未确认平仓
002186,2015-03-11,21.07,2015-07-02,1.8637588235294134,True,止损触发(层面1)
002140,2015-03-12,20.34,2015-06-25,7.287005333333334,True,止损触发(层面1)
000963,2015-03-13,15.61,2015-08-25,3.9067772727272723,True,止损触发(层面1)
000869,2015-03-19,39.17,2015-06-26,7.759537500000002,True,止损触发(层面1)
