mode,code,date,grade,PT,TY,DN,DL,LK,SF,close,trigger,stop,risk,prbook_warn,triggered_5d,entry_5d,exit_5d,exit_date_5d,stopped_5d,r_5d,triggered_10d,entry_10d,exit_10d,exit_date_10d,stopped_10d,r_10d,triggered_20d,entry_20d,exit_20d,exit_date_20d,stopped_20d,r_20d,vol_ratio,mom20,_d
prebreak,600547,2012-12-21,S,S,A,C,S,S,A,17.206,17.97,17.02,0.95,,1,17.97,18.0977,2012-12-28,0,0.12,1,17.97,17.5848,2013-01-09,0,-0.4196,1,17.97,18.0114,2013-01-23,0,0.0292,1.7751,0.0188525382677753,2012-12-21
prebreak,002393,2013-05-10,S,S,A,C,S,S,A,16.8956,17.36,16.49,0.87,,1,17.36,18.1686,2013-05-17,0,0.9137,1,17.36,17.9263,2013-05-24,0,0.6354,1,17.36,16.8291,2013-06-07,0,-0.625,2.1532,0.0670860027842423,2013-05-10
prebreak,002393,2013-05-17,S,S,A,C,S,S,A,18.1686,17.36,16.49,0.87,,1,17.36,17.9073,2013-05-22,0,0.6136,1,17.36,17.9073,2013-05-22,0,0.6136,1,17.36,17.9073,2013-05-22,0,0.6136,1.6454,0.0670860027842423,2013-05-17
prebreak,601808,2013-07-10,S,S,A,C,S,S,A,12.0256,13.36,12.75,0.61,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,13.36,13.1583,2013-08-07,0,-0.347,2.5089,0.0977446805335398,2013-07-10
prebreak,002393,2013-11-01,S,S,A,C,S,S,A,15.6892,17.83,16.9,0.93,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,17.83,18.4679,2013-11-29,0,0.6709,4.4908,0.1364503573720004,2013-11-01
prebreak,601336,2013-12-03,S,S,A,C,S,S,A,18.2803,18.06,17.11,0.95,,1,18.06,17.8224,2013-12-06,0,-0.2644,1,18.06,17.8224,2013-12-06,0,-0.2644,1,18.06,17.8224,2013-12-06,0,-0.2644,1.5791,0.0974751124402841,2013-12-03
prebreak,600062,2014-02-14,S,S,A,C,S,S,A,11.487,11.73,11.22,0.51,,1,11.73,11.5752,2014-02-21,0,-0.3208,1,11.73,11.22,2014-02-25,1,-1.0169,1,11.73,11.22,2014-02-25,1,-1.0169,1.9734,0.0255835997559732,2014-02-14
prebreak,000568,2014-02-19,S,S,A,C,S,S,A,12.5313,13.31,12.61,0.7,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,13.31,13.3478,2014-03-19,0,0.0395,3.7459,0.136166969548428,2014-02-19
prebreak,601336,2014-02-19,S,S,A,C,S,S,A,16.5741,16.76,16.02,0.74,,1,16.76,16.02,2014-02-24,1,-1.0166,1,16.76,16.02,2014-02-24,1,-1.0166,1,16.76,16.02,2014-02-24,1,-1.0166,1.6534,0.0277016794527538,2014-02-19
prebreak,002275,2014-03-21,S,S,A,C,S,S,A,10.8236,9.9,9.37,0.53,,1,9.9,11.2651,2014-03-26,0,2.5599,1,9.9,11.2651,2014-03-26,0,2.5599,1,9.9,11.2651,2014-03-26,0,2.5599,2.9712,-0.0446440972760698,2014-03-21
prebreak,600309,2014-03-21,S,S,A,C,S,S,A,10.2445,10.72,10.19,0.53,,0,0.0,0.0,,0,0.0,1,10.72,10.7885,2014-04-04,0,0.1138,1,10.72,10.19,2014-04-18,1,-1.0147,1.8257,0.0270236104064458,2014-03-21
prebreak,600600,2014-05-16,S,S,A,C,S,S,A,32.7913,33.29,31.81,1.48,,1,33.29,34.7723,2014-05-23,0,0.9838,1,33.29,34.2247,2014-05-30,0,0.6141,1,33.29,32.9362,2014-06-16,0,-0.256,1.9918,0.0219851248924303,2014-05-16
prebreak,000917,2014-06-03,S,S,A,C,S,S,A,13.9795,14.22,13.7,0.52,,1,14.22,13.902,2014-06-09,0,-0.632,1,14.22,13.902,2014-06-09,0,-0.632,1,14.22,13.902,2014-06-09,0,-0.632,2.0338,0.0745451995255899,2014-06-03
prebreak,000917,2014-06-10,S,S,A,C,S,S,A,14.1926,14.45,13.74,0.71,,1,14.45,14.2895,2014-06-17,0,-0.2414,1,14.45,14.0182,2014-06-24,0,-0.6232,1,14.45,16.537,2014-07-08,0,2.9222,1.7085,0.0839898219975425,2014-06-10
prebreak,000917,2014-06-24,S,S,A,C,S,S,A,14.0182,14.74,14.08,0.66,,1,14.74,14.6867,2014-07-01,0,-0.0977,1,14.74,16.537,2014-07-08,0,2.7041,1,14.74,15.3921,2014-07-22,0,0.9705,2.421,0.0662260811541837,2014-06-24
prebreak,600332,2014-07-14,S,S,A,C,S,S,A,18.5504,20.39,19.46,0.93,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,20.39,21.2752,2014-08-11,0,0.9346,3.2083,0.0084340654801409,2014-07-14
prebreak,600535,2014-07-25,S,S,A,C,S,S,A,21.7159,22.03,21.09,0.94,,1,22.03,22.625,2014-08-01,0,0.6147,1,22.03,22.1929,2014-08-08,0,0.1554,1,22.03,22.2378,2014-08-22,0,0.2031,1.6115,0.0126315290308556,2014-07-25
prebreak,600138,2014-09-02,S,S,A,C,S,S,A,14.4916,13.76,13.1,0.66,,1,13.76,15.1121,2014-09-05,0,2.0316,1,13.76,15.1121,2014-09-05,0,2.0316,1,13.76,15.1121,2014-09-05,0,2.0316,2.345,0.0263105503481051,2014-09-02
prebreak,600058,2014-09-18,S,S,A,C,S,S,A,12.0634,12.28,11.69,0.59,,0,0.0,0.0,,0,0.0,1,12.28,12.322,2014-10-09,0,0.0553,1,12.28,11.69,2014-10-22,1,-1.0152,1.8164,0.071855982825737,2014-09-18
prebreak,600315,2014-09-18,S,S,A,C,S,S,A,31.4898,32.41,30.82,1.59,,0,0.0,0.0,,0,0.0,1,32.41,32.8049,2014-10-09,0,0.2327,1,32.41,32.1829,2014-10-10,0,-0.1582,1.6825,0.062189491867012,2014-09-18
prebreak,601888,2014-09-26,S,S,A,C,S,S,A,16.9176,17.41,16.55,0.86,,1,17.41,16.55,2014-09-30,1,-1.0148,1,17.41,16.55,2014-09-30,1,-1.0148,1,17.41,16.55,2014-09-30,1,-1.0148,2.3897,0.0527186833366195,2014-09-26
prebreak,000969,2014-10-08,S,S,A,C,S,S,A,9.8683,10.0,9.48,0.52,,1,10.0,9.622,2014-10-13,0,-0.741,1,10.0,9.622,2014-10-13,0,-0.741,1,10.0,9.622,2014-10-13,0,-0.741,1.5353,0.0241600817344995,2014-10-08
prebreak,600594,2014-10-14,S,S,A,C,S,S,A,16.3916,16.58,15.88,0.7,,1,16.58,16.6708,2014-10-21,0,0.1117,1,16.58,15.88,2014-10-28,1,-1.0174,1,16.58,15.88,2014-10-28,1,-1.0174,1.5364,-0.0015887064110622,2014-10-14
prebreak,002051,2014-10-24,S,S,A,C,S,S,A,10.733,11.35,10.78,0.57,,1,11.35,11.4525,2014-10-31,0,0.1646,1,11.35,14.0827,2014-11-07,0,4.7761,1,11.35,14.3599,2014-11-21,0,5.262,2.0338,0.0494092019363523,2014-10-24
prebreak,600648,2014-10-24,S,S,A,C,S,S,A,20.9791,21.44,20.64,0.8,,1,21.44,21.7709,2014-10-31,0,0.393,1,21.44,21.4617,2014-11-07,0,0.0068,1,21.44,23.8598,2014-11-21,0,3.0024,2.362,-0.0414295163458723,2014-10-24
prebreak,600486,2014-10-29,S,S,A,C,S,S,A,13.7869,13.36,12.73,0.63,,1,13.36,13.4459,2014-11-05,0,0.1201,1,13.36,13.4123,2014-11-12,0,0.0669,1,13.36,14.7038,2014-11-26,0,2.1156,1.7867,-0.0030702191974566,2014-10-29
prebreak,002051,2014-10-31,S,S,A,C,S,S,A,11.4525,11.04,10.54,0.5,,1,11.04,14.0827,2014-11-07,0,6.0648,1,11.04,14.4247,2014-11-14,0,6.7484,1,11.04,15.3329,2014-11-28,0,8.5637,4.1907,-0.025481593474488,2014-10-31
prebreak,000538,2014-11-04,S,S,A,C,S,S,A,27.7337,29.03,27.65,1.38,,0,0.0,0.0,,0,0.0,1,29.03,28.2231,2014-11-18,0,-0.6003,1,29.03,28.2231,2014-11-18,0,-0.6003,2.0109,-0.020190849974186,2014-11-04
prebreak,000917,2014-11-05,S,S,A,C,S,S,A,17.247,18.1,17.17,0.93,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,18.1,18.5482,2014-12-03,0,0.4669,3.385,0.0705583941524392,2014-11-05
prebreak,002428,2014-11-05,S,S,A,C,S,S,A,13.5918,14.06,13.48,0.58,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,14.06,15.9547,2014-12-03,0,3.2463,2.2648,0.0552602431280013,2014-11-05
prebreak,600654,2014-11-05,S,S,A,C,S,S,A,10.2994,10.5,10.0,0.5,,1,10.5,10.9332,2014-11-12,0,0.85,1,10.5,11.161,2014-11-25,0,1.3052,1,10.5,10.0,2014-12-09,1,-1.0153,3.3318,0.0194743216137049,2014-11-05
prebreak,600292,2014-11-06,S,S,A,C,S,S,A,17.0662,15.94,15.28,0.66,,1,15.94,17.7538,2014-11-13,0,2.7281,1,15.94,16.357,2014-11-20,0,0.613,1,15.94,16.8564,2014-12-04,0,1.3692,4.2857,-0.0667840258839257,2014-11-06
prebreak,600436,2014-11-06,S,S,A,C,S,S,A,20.4976,22.17,21.11,1.06,,0,0.0,0.0,,0,0.0,1,22.17,21.4908,2014-11-18,0,-0.6563,1,22.17,21.4908,2014-11-18,0,-0.6563,2.4397,-0.0422373363553416,2014-11-06
prebreak,000701,2014-11-12,S,S,A,C,S,S,A,11.7466,12.33,11.81,0.52,,0,0.0,0.0,,0,0.0,1,12.33,12.2475,2014-11-26,0,-0.1766,1,12.33,11.81,2014-12-05,1,-1.0174,1.5431,0.082243538904837,2014-11-12
prebreak,000917,2014-11-12,S,S,A,C,S,S,A,16.7711,17.81,17.08,0.73,,0,0.0,0.0,,0,0.0,1,17.81,17.8199,2014-11-26,0,-0.005,1,17.81,17.08,2014-12-09,1,-1.0179,3.385,0.053405801096958,2014-11-12
prebreak,002428,2014-11-12,S,S,A,C,S,S,A,13.423,13.72,13.01,0.71,,1,13.72,13.6414,2014-11-19,0,-0.1253,1,13.72,14.4059,2014-11-26,0,0.9508,1,13.72,15.1207,2014-12-10,0,1.9569,1.9465,-0.0143269795977746,2014-11-12
prebreak,300070,2014-11-12,S,S,A,C,S,S,A,10.7235,11.16,10.6,0.56,,1,11.16,11.2285,2014-11-19,0,0.107,1,11.16,11.1022,2014-11-20,0,-0.1183,1,11.16,11.1022,2014-11-20,0,-0.1183,1.9155,-0.016485117013627,2014-11-12
prebreak,600706,2014-11-12,S,S,A,C,S,S,A,12.3416,11.62,11.03,0.59,,1,11.62,12.4161,2014-11-19,0,1.3335,1,11.62,13.8159,2014-11-26,0,3.7046,1,11.62,12.8634,2014-12-10,0,2.0911,1.5686,-0.020331785461137,2014-11-12
prebreak,600111,2014-11-13,S,S,A,C,S,S,A,14.5046,13.99,13.44,0.55,,1,13.99,13.9438,2014-11-18,0,-0.1033,1,13.99,13.9438,2014-11-18,0,-0.1033,1,13.99,13.9438,2014-11-18,0,-0.1033,1.8638,0.0010282601021847,2014-11-13
prebreak,600436,2014-11-13,S,S,A,C,S,S,A,21.2056,22.17,21.11,1.06,,1,22.17,21.4908,2014-11-18,0,-0.6563,1,22.17,21.4908,2014-11-18,0,-0.6563,1,22.17,21.4908,2014-11-18,0,-0.6563,2.4397,-0.0422373363553416,2014-11-13
prebreak,600309,2014-11-14,S,S,A,C,S,S,A,11.1859,11.74,11.16,0.58,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,11.74,12.7254,2014-12-12,0,1.6824,3.0938,0.0213053201006068,2014-11-14
prebreak,600597,2014-11-14,S,S,A,C,S,S,A,14.1931,13.76,13.04,0.72,,1,13.76,13.2769,2014-11-19,0,-0.6851,1,13.76,13.2769,2014-11-19,0,-0.6851,1,13.76,13.2769,2014-11-19,0,-0.6851,1.5439,-0.0251732336939802,2014-11-14
prebreak,600648,2014-11-14,S,S,A,C,S,S,A,24.7798,22.06,21.12,0.94,,1,22.06,23.7089,2014-11-19,0,1.7353,1,22.06,23.7089,2014-11-19,0,1.7353,1,22.06,23.7089,2014-11-19,0,1.7353,4.2335,0.042157871623417,2014-11-14
prebreak,000049,2014-11-17,S,S,A,C,S,S,A,20.2255,20.42,19.6,0.82,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,20.42,19.9439,2014-12-08,0,-0.5992,2.2164,0.0104459871703956,2014-11-17
prebreak,600729,2014-11-17,S,S,A,C,S,S,A,12.7187,13.07,12.4,0.67,,0,0.0,0.0,,0,0.0,1,13.07,13.2118,2014-12-01,0,0.1966,1,13.07,14.4091,2014-12-15,0,1.9825,2.0207,-0.0049827269731408,2014-11-17
prebreak,000826,2014-11-21,S,S,A,C,S,S,A,16.7623,17.04,16.35,0.69,,1,17.04,17.2064,2014-11-27,0,0.2222,1,17.04,17.2064,2014-11-27,0,0.2222,1,17.04,17.2064,2014-11-27,0,0.2222,1.5123,0.0669079130058014,2014-11-21
prebreak,601601,2014-11-21,S,S,A,C,S,S,A,14.1737,13.52,13.01,0.51,,1,13.52,16.21,2014-11-28,0,5.251,1,13.52,17.9305,2014-12-05,0,8.6224,1,13.52,17.8969,2014-12-19,0,8.5565,3.4058,0.0740714949340655,2014-11-21
prebreak,600535,2014-11-24,S,S,A,C,S,S,A,22.3724,23.19,22.21,0.98,,1,23.19,23.2815,2014-12-01,0,0.0753,1,23.19,23.158,2014-12-03,0,-0.0506,1,23.19,23.158,2014-12-03,0,-0.0506,2.2927,0.0126675719810518,2014-11-24
prebreak,300257,2014-11-25,S,S,A,C,S,S,A,16.9947,16.36,15.65,0.71,,1,16.36,16.6997,2014-12-02,0,0.4607,1,16.36,16.2456,2014-12-09,0,-0.1785,1,16.36,17.388,2014-12-23,0,1.4294,1.8813,-0.0072633004792239,2014-11-25
prebreak,002428,2014-11-26,S,S,A,C,S,S,A,14.4059,14.08,13.39,0.69,,1,14.08,15.9547,2014-12-03,0,2.6998,1,14.08,15.1207,2014-12-10,0,1.4919,1,14.08,14.3364,2014-12-24,0,0.3559,1.5835,0.0344082403739682,2014-11-26
prebreak,600805,2014-11-26,S,S,A,C,S,S,A,10.4757,10.56,10.02,0.54,,1,10.56,10.9583,2014-12-03,0,0.7223,1,10.56,11.4599,2014-12-10,0,1.6505,1,10.56,10.8637,2014-12-24,0,0.5472,1.8485,0.0361258478238928,2014-11-26
prebreak,600292,2014-11-27,S,S,A,C,S,S,A,17.4498,15.94,15.28,0.66,,1,15.94,16.8564,2014-12-04,0,1.3692,1,15.94,17.6091,2014-12-11,0,2.5089,1,15.94,16.6827,2014-12-25,0,1.1062,1.5836,0.030598829627485,2014-11-27
prebreak,601601,2014-11-28,S,S,A,C,S,S,A,16.21,13.52,13.01,0.51,,1,13.52,17.9305,2014-12-05,0,8.6224,1,13.52,16.4923,2014-12-12,0,5.8041,1,13.52,20.1079,2014-12-26,0,12.8892,1.7004,0.0222235315099108,2014-11-28
prebreak,002106,2014-12-01,S,S,A,C,S,S,A,11.2275,11.76,11.16,0.6,,1,11.76,12.4973,2014-12-08,0,1.2131,1,11.76,12.6277,2014-12-15,0,1.4304,1,11.76,11.16,2014-12-23,1,-1.0143,2.0228,0.0228628571283544,2014-12-01
prebreak,000869,2014-12-02,S,S,A,C,S,S,A,25.5879,25.16,24.04,1.12,,1,25.16,26.7687,2014-12-09,0,1.4184,1,25.16,28.1907,2014-12-16,0,2.6872,1,25.16,28.8726,2014-12-30,0,3.2957,2.2842,-0.0106128180472201,2014-12-02
prebreak,002304,2014-12-03,S,S,A,C,S,S,A,33.4318,31.24,29.8,1.44,,1,31.24,35.3875,2014-12-10,0,2.8619,1,31.24,33.837,2014-12-17,0,1.7858,1,31.24,39.539,2014-12-31,0,5.7431,1.8922,0.061486679921836,2014-12-03
prebreak,600805,2014-12-03,S,S,A,C,S,S,A,10.9583,10.89,10.33,0.56,,1,10.89,11.4599,2014-12-10,0,1.0022,1,10.89,11.4883,2014-12-17,0,1.0529,1,10.89,10.6934,2014-12-31,0,-0.3657,1.6578,0.0499814312702147,2014-12-03
prebreak,600831,2014-12-03,S,S,A,C,S,S,A,9.6705,9.59,9.09,0.5,,1,9.59,9.09,2014-12-05,1,-1.0139,1,9.59,9.09,2014-12-05,1,-1.0139,1,9.59,9.09,2014-12-05,1,-1.0139,1.7518,0.0311764398507092,2014-12-03
prebreak,002106,2014-12-08,S,S,A,C,S,S,A,12.4973,11.76,11.16,0.6,,1,11.76,12.6277,2014-12-15,0,1.4304,1,11.76,11.3058,2014-12-22,0,-0.7714,1,11.76,11.16,2014-12-23,1,-1.0143,2.6826,0.0377779716989137,2014-12-08
prebreak,600329,2014-12-08,S,S,A,C,S,S,A,10.999,11.54,10.96,0.58,,1,11.54,11.581,2014-12-15,0,0.0555,1,11.54,11.3409,2014-12-17,0,-0.3581,1,11.54,11.3409,2014-12-17,0,-0.3581,1.5856,0.0314469916520094,2014-12-08
prebreak,000701,2014-12-10,S,S,A,C,S,S,A,12.385,12.67,12.1,0.57,,1,12.67,13.2002,2014-12-17,0,0.9126,1,12.67,12.1,2014-12-22,1,-1.0163,1,12.67,12.1,2014-12-22,1,-1.0163,2.5517,0.074121777404486,2014-12-10
prebreak,002653,2014-12-16,S,S,A,C,S,S,A,16.4185,17.4,16.51,0.89,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,17.4,16.51,2015-01-15,1,-1.0142,2.5703,0.0592275437248293,2014-12-16
