mode,code,date,grade,PT,TY,DN,DL,LK,SF,close,trigger,stop,risk,triggered_5d,entry_5d,exit_5d,exit_date_5d,stopped_5d,r_5d,triggered_10d,entry_10d,exit_10d,exit_date_10d,stopped_10d,r_10d,triggered_20d,entry_20d,exit_20d,exit_date_20d,stopped_20d,r_20d
prebreak,000858,2025-11-05,S,S,S,C,S,A,A,116.1800,119.8800,115.1700,4.7100,1,119.8800,120.3800,2025-11-12,0,0.1062,1,119.8800,119.8900,2025-11-19,0,0.0021,1,119.8800,115.6000,2025-12-03,0,-0.9087
prebreak,601398,2025-11-05,S,S,S,C,S,S,S,8.1400,8.0400,7.6500,0.3900,1,8.0400,8.1900,2025-11-12,0,0.3846,1,8.0400,8.2300,2025-11-19,0,0.4872,1,8.0400,8.0500,2025-12-03,0,0.0256
prebreak,000001,2025-11-12,S,S,S,C,S,A,A,11.6800,11.8100,11.4300,0.3800,1,11.8100,11.8000,2025-11-19,0,-0.0263,1,11.8100,11.6900,2025-11-26,0,-0.3158,1,11.8100,11.4300,2025-12-05,1,-1.0000
prebreak,000858,2025-11-12,S,S,S,C,S,S,A,120.3800,121.8200,115.7200,6.1000,1,121.8200,119.8900,2025-11-19,0,-0.3164,1,121.8200,118.2600,2025-11-26,0,-0.5836,1,121.8200,115.7200,2025-12-03,1,-1.0000
prebreak,601398,2025-11-12,S,S,S,C,S,S,S,8.1900,8.3400,7.9600,0.3800,1,8.3400,8.2300,2025-11-19,0,-0.2895,1,8.3400,8.1600,2025-11-26,0,-0.4737,1,8.3400,7.9600,2025-12-05,1,-1.0000
prebreak,000001,2025-11-19,S,S,S,C,S,A,A,11.8000,11.8600,11.5500,0.3100,1,11.8600,11.6900,2025-11-26,0,-0.5484,1,11.8600,11.5500,2025-12-01,1,-1.0000,1,11.8600,11.5500,2025-12-01,1,-1.0000
prebreak,000858,2025-11-19,S,S,S,C,S,A,A,119.8900,122.2300,118.7700,3.4600,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,601398,2025-11-19,S,S,S,C,S,A,S,8.2300,8.4000,8.0600,0.3400,1,8.4000,8.1600,2025-11-26,0,-0.7059,1,8.4000,8.0600,2025-11-27,1,-1.0000,1,8.4000,8.0600,2025-11-27,1,-1.0000
prebreak,000001,2025-11-26,S,S,S,C,S,S,A,11.6900,12.0100,11.5600,0.4500,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000858,2025-11-26,S,S,S,C,S,A,A,118.2600,121.8800,117.5900,4.2900,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,601398,2025-11-26,S,S,S,C,S,A,S,8.1600,8.4200,8.1000,0.3200,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000001,2025-12-03,S,S,S,C,S,S,A,11.5500,11.7500,11.5100,0.2400,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000858,2025-12-03,S,S,S,C,S,A,A,115.6000,118.8600,115.2700,3.5900,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,601398,2025-12-03,S,S,S,C,S,A,S,8.0500,8.2100,8.0000,0.2100,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000001,2025-12-10,S,S,S,C,S,S,A,11.3300,11.6200,11.2700,0.3500,0,0.0000,0.0000,,0,0.0000,1,11.6200,11.5400,2025-12-24,0,-0.2286,1,11.6200,11.4600,2026-01-09,0,-0.4571
prebreak,000858,2025-12-10,S,S,S,C,S,A,A,111.6200,118.0100,112.8700,5.1400,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,601398,2025-12-10,S,S,S,C,S,A,S,7.9400,8.1700,7.9000,0.2700,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000001,2025-12-17,S,S,S,C,S,S,A,11.5300,11.6000,11.2800,0.3200,1,11.6000,11.5400,2025-12-24,0,-0.1875,1,11.6000,11.4100,2025-12-31,0,-0.5937,1,11.6000,11.2800,2026-01-16,1,-1.0000
prebreak,000858,2025-12-17,S,S,S,C,S,A,A,113.4000,113.9800,111.3800,2.6000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,601398,2025-12-17,S,S,S,C,S,A,A,7.8100,8.0200,7.7100,0.3100,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000001,2025-12-24,S,S,S,C,S,A,A,11.5400,11.6700,11.4600,0.2100,0,0.0000,0.0000,,0,0.0000,1,11.6700,11.4600,2026-01-09,1,-1.0000,1,11.6700,11.4600,2026-01-09,1,-1.0000
prebreak,000858,2025-12-24,S,S,S,C,S,A,A,109.2800,111.3800,108.5600,2.8200,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600000,2025-12-24,A,S,S,C,A,A,A,11.8100,11.9200,11.4600,0.4600,1,11.9200,12.4400,2025-12-31,0,1.1304,1,11.9200,11.4600,2026-01-09,1,-1.0000,1,11.9200,11.4600,2026-01-09,1,-1.0000
prebreak,601398,2025-12-24,S,S,S,C,S,A,A,7.9100,8.0200,7.7700,0.2500,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000001,2025-12-31,S,S,S,C,S,A,A,11.4100,11.6400,11.3800,0.2600,1,11.6400,11.4600,2026-01-09,0,-0.6923,1,11.6400,11.3800,2026-01-14,1,-1.0000,1,11.6400,11.3800,2026-01-14,1,-1.0000
prebreak,000858,2025-12-31,S,S,S,C,S,S,A,105.9400,110.9200,105.4000,5.5200,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600000,2025-12-31,A,S,S,C,A,A,A,12.4400,12.2400,11.6000,0.6400,1,12.2400,11.6000,2026-01-08,1,-1.0000,1,12.2400,11.6000,2026-01-08,1,-1.0000,1,12.2400,11.6000,2026-01-08,1,-1.0000
prebreak,601398,2025-12-31,S,S,S,C,S,A,A,7.9300,7.9800,7.7500,0.2300,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
