mode,code,date,grade,PT,TY,DN,DL,LK,SF,close,trigger,stop,risk,prbook_warn,triggered_5d,entry_5d,exit_5d,exit_date_5d,stopped_5d,r_5d,triggered_10d,entry_10d,exit_10d,exit_date_10d,stopped_10d,r_10d,triggered_20d,entry_20d,exit_20d,exit_date_20d,stopped_20d,r_20d
prebreak,600476,2026-01-12,S,S,A,C,S,S,A,17.0100,16.5300,15.8100,0.7200,,1,16.5300,16.7200,2026-01-19,0,0.2463,1,16.5300,16.7400,2026-01-26,0,0.2740,1,16.5300,15.8100,2026-02-02,1,-1.0168
prebreak,600827,2026-01-12,S,S,A,C,S,S,A,9.1970,9.2400,8.8000,0.4400,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600889,2026-01-12,S,S,A,C,S,S,A,16.3500,15.6300,14.9200,0.7100,,1,15.6300,17.0000,2026-01-19,0,1.9116,1,15.6300,17.4700,2026-01-26,0,2.5732,1,15.6300,16.5800,2026-02-09,0,1.3205
prebreak,601058,2026-01-12,S,S,A,C,S,S,A,15.8062,16.6600,15.8500,0.8100,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,603777,2026-01-12,S,S,A,C,S,S,A,14.0900,13.9100,13.2800,0.6300,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,688506,2026-01-12,S,S,A,C,S,S,A,344.0000,358.2900,339.9800,18.3100,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,688789,2026-01-12,S,S,A,C,S,S,A,81.0694,82.0800,77.9700,4.1100,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000919,2026-01-14,S,S,A,C,S,S,A,7.7728,7.8900,7.4900,0.4000,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002223,2026-01-14,S,S,A,C,S,S,A,44.4173,38.6200,37.0700,1.5500,,1,38.6200,40.2104,2026-01-21,0,1.0065,1,38.6200,40.6017,2026-01-28,0,1.2588,1,38.6200,38.1656,2026-02-11,0,-0.3119
prebreak,002889,2026-01-14,S,S,A,C,S,S,A,15.3694,15.8700,15.2400,0.6300,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300067,2026-01-14,S,S,A,C,S,S,A,5.4500,5.1900,4.9700,0.2200,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300185,2026-01-14,S,S,A,C,S,S,A,2.9779,2.9300,2.7900,0.1400,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300597,2026-01-14,S,S,A,C,S,S,A,11.1600,9.5100,9.0700,0.4400,,1,9.5100,9.9900,2026-01-21,0,1.0738,1,9.5100,9.8200,2026-01-28,0,0.6877,1,9.5100,10.2500,2026-02-11,0,1.6643
prebreak,300832,2026-01-14,S,S,A,C,S,S,A,57.4676,57.8200,55.6500,2.1700,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600278,2026-01-14,S,S,A,C,S,S,A,8.3800,7.8900,7.5200,0.3700,,1,7.8900,8.7600,2026-01-21,0,2.3337,1,7.8900,8.7300,2026-01-28,0,2.2526,1,7.8900,8.6600,2026-02-11,0,2.0636
prebreak,601900,2026-01-14,S,S,A,C,S,S,A,15.7631,13.2600,12.5800,0.6800,,1,13.2600,14.7427,2026-01-21,0,2.1643,1,13.2600,14.6378,2026-01-28,0,2.0101,1,13.2600,14.1706,2026-02-11,0,1.3234
prebreak,603170,2026-01-14,S,S,A,C,S,S,A,14.8973,14.4300,13.8000,0.6300,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,603390,2026-01-14,S,S,A,C,S,S,A,13.1587,13.4900,12.9300,0.5600,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,603687,2026-01-14,S,S,A,C,S,S,A,11.3951,9.8200,9.3500,0.4700,,1,9.8200,10.9860,2026-01-21,0,2.4634,1,9.8200,11.1756,2026-01-28,0,2.8665,1,9.8200,11.7842,2026-02-11,0,4.1607
prebreak,000785,2026-01-15,S,S,A,C,S,S,A,3.3400,3.0100,2.8900,0.1200,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,300020,2026-01-15,S,S,A,C,S,S,A,3.9100,3.5600,3.4000,0.1600,,1,3.5600,4.5000,2026-01-22,0,5.8544,1,3.5600,4.2800,2026-01-29,0,4.4803,1,3.5600,4.3600,2026-02-12,0,4.9799
prebreak,300075,2026-01-15,S,S,A,C,S,S,A,17.1900,15.6600,15.0700,0.5900,,1,15.6600,16.0800,2026-01-22,0,0.6912,1,15.6600,15.0700,2026-01-29,1,-1.0195,1,15.6600,15.0700,2026-01-29,1,-1.0195
prebreak,300306,2026-01-15,S,S,A,C,S,S,A,14.1931,13.6800,13.0300,0.6500,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,301078,2026-01-15,S,S,A,C,S,S,A,11.4431,10.9600,10.3900,0.5700,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600755,2026-01-15,S,S,A,C,S,S,A,6.7217,6.9600,6.6200,0.3400,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,600796,2026-01-15,S,S,A,C,S,S,A,6.3977,6.2600,5.9600,0.3000,,1,6.2600,6.5368,2026-01-22,0,0.9062,1,6.2600,6.5567,2026-01-29,0,0.9724,1,6.2600,6.6759,2026-02-12,0,1.3695
prebreak,605377,2026-01-15,S,S,A,C,S,S,A,8.3291,8.5300,8.1600,0.3700,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000948,2026-01-16,S,S,A,C,S,S,A,18.1638,17.2800,16.6400,0.6400,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,000997,2026-01-16,S,S,A,C,S,S,A,28.6763,28.0400,26.8700,1.1700,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002152,2026-01-16,S,S,A,C,S,S,A,13.4100,13.6200,12.9000,0.7200,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
prebreak,002166,2026-01-16,S,S,A,C,S,S,A,8.9905,8.7100,8.2800,0.4300,,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000,0,0.0000,0.0000,,0,0.0000
